rid,Date,Review_Text,Stars
1,2023-05-18,Unique flavor and great energy boost. It's the perfect gamer's drink!,5
2,2023-05-17,Good flavor and keeps me energized. The bottle design is really fun.,5
3,2023-05-16,Excellent energy drink for gamers. The tropical flavor is refreshing.,4
4,2023-05-15,"It’s fun, tastes good, and the energy boost is helpful during intense gaming sessions.",5
5,2023-05-15,"The best sneakers I've bought in a long time. Stylish, comfortable and the leather quality is top-notch.",5
6,2023-05-12,The cherry cola flavor is a win. Keeps me energized and focused.,5
7,2023-05-10,These shoes are a hit with my twins. They love the lights and they seem to be quite durable.,5
8,2023-05-01,Excellent boots for outdoor adventures. They offer great support and are very comfortable.,5
9,2023-05-01,"Nice design and good quality, but a bit too tight for me. Otherwise, it's a pretty cool beanie.",4
10,2023-04-25,Really enjoyed the citrus flavor and the energy boost it gives.,5
11,2023-04-25,"Great concept, but the sizing is a bit off. Order a size larger.",3
12,2023-04-18,"Delicious chocolates, and the box is pretty substantial. It'd make a nice gift.",5
13,2023-04-12,"The boots are durable, but the laces could be better quality.",4
14,2023-04-11,This potion is a game changer. Love the energy boost and the flavor.,5
15,2023-04-10,"Light, comfortable, and nice design. I'm buying another pair.",5
16,2023-04-10,Highly recommend! These shoes are great for evening walks. Kids love them!,5
17,2023-04-09,It's like a health potion for gamers! The energy boost is spot on.,4
18,2023-04-07,Really helps me focus during intense gaming marathons. The teal color is a nice touch.,5
19,2023-04-07,The shoes are nice but they didn't fit me well. I had to exchange for a larger size.,3
20,2023-04-05,"Great taste, and the energy kick is awesome. Feels just like a strength potion.",5
21,2023-04-05,Exceptional beanie! I wear it every time I go out in cold weather. The material is comfortable and durable. Highly recommend it.,5
22,2023-04-01,Great taste and doesn't give me a crash afterwards.,4
23,2023-03-25,"Good quality and fit, but the color is a bit off from the picture. Still, they're pretty.",4
24,2023-03-25,"The beanie is cute, but the cat ears were a bit floppy. Overall, I like it and wear it regularly.",3
25,2023-03-24,"Good quality and comfortable, but a bit pricey.",4
26,2023-03-20,"The orange flavor wasn't my favorite, but the cherry ones are great.",4
27,2023-03-20,"Not only does it look cool, but it tastes great and gives a good energy boost!",5
28,2023-03-15,Just what I need for long gaming sessions. Great flavor and energy boost.,5
29,2023-03-14,"Definitely helped me stay focused during my long gaming nights. Plus, the bottle design is pretty cool.",5
30,2023-03-14,"I love how it gives me the energy I need for my gaming sessions. Plus, no sugar crash.",4
31,2023-03-10,"Finally, an energy drink for gamers! It's just like a mana potion.",5
32,2023-03-10,"I'm not really a cat person, but I like the quality and comfort of this beanie. My friend recommended it, and I'm glad I bought it.",4
33,2023-03-05,"They're a good pair of running shoes for the price. They're not the best I've had, but they do the job.",3
34,2023-03-05,"The sneakers are fun and eye-catching, but my pair arrived with one shoe not lighting up.",2
35,2023-03-01,Very comfortable and the leather feels premium. Would recommend to anyone looking for classic sneakers.,5
36,2023-02-25,"Great sneakers, but the white ones get dirty easily. Otherwise, they're perfect.",4
37,2023-02-22,"Love these boots. They're rugged and comfortable, perfect for outdoor activities.",5
38,2023-02-20,Perfect for long gaming nights. Love the taste and the cool bottle design.,5
39,2023-02-20,"Comfortable, good fit, and the grip is excellent. Happy with my purchase.",5
40,2023-02-20,Good quality and the lights are a nice touch. My kid wears them all the time.,4
41,2023-02-18,"The tropical flavor is really good, and the energy kick is powerful.",5
42,2023-02-17,Stunning and comfortable. I wore them to a wedding and got so many compliments.,5
43,2023-02-15,"The box is nicely packaged, making it a great gift option.",5
44,2023-02-15,It's quite nice but a little snug on my head. Maybe it's just my head size. But I love the design!,3
45,2023-02-12,The cherry cola flavor is very appealing. Provides a good energy boost for gaming!,4
46,2023-02-12,The mint and citrus blend is very refreshing. And the bottle design is great too!,5
47,2023-02-10,The berry flavor is intense and delicious. Great for keeping me focused during my gaming sessions.,5
48,2023-01-24,These chocolates are so tasty! Love the variety of flavors.,5
49,2023-01-23,"Nice sandals, but they run a bit small. I recommend ordering a size up.",4
50,2023-01-15,The design is just epic! And the energy boost is real.,4
51,2023-01-15,Really like the design and they're great for running. They're also easy to clean.,4
52,2023-01-15,These sneakers are worth every penny! They're durable and my kid loves them!,5
53,2023-01-13,"These are decent boots for hiking, but they took a while to break in.",3
54,2023-01-10,"Impressive build quality and comfort. However, I wish they were a bit cheaper.",4
55,2023-01-10,A must-have for cat lovers. It's adorable and keeps me warm during chilly weather.,4
56,2022-12-25,"I bought this for my daughter, and she adores it! It's become her favorite winter accessory.",5
57,2022-12-18,"Bought the large box, and it's lasted quite a while. Great for when you need a sweet treat.",5
58,2022-12-18,These sandals are a must-have! They look amazing and feel great.,5
59,2022-12-07,Great traction and support. My feet stayed dry even in wet conditions.,5
60,2022-11-25,"Shoes are okay, but the cushioning could be better.",3
61,2022-11-25,The shoes are great but the battery life for the lights could be better.,3
62,2022-11-20,"Beautiful shoes, but not very comfortable. Good for short-term wear.",3
63,2022-11-20,Was looking for a good pair of white sneakers and these fit the bill. Excellent quality and design.,5
64,2022-11-10,These boots are perfect for hiking. They're comfortable and provide excellent support.,5
65,2022-11-05,"A bit pricey, but the quality of the chocolate is worth it.",4
66,2022-10-19,"Great boots! The size was perfect, and they're very comfortable.",5
67,2022-10-14,"Great quality for the price. The buckle closure is secure, and the heel feels sturdy.",4
68,2022-10-05,"Good shoes, but they run a little small. I'd recommend ordering a half size up.",4
69,2022-10-05,"Nice design and the lights are bright. However, they run a bit small. Order a size up.",4
70,2022-10-05,"Great beanie, but I wish there were more colors available. The cat ears design is really nice.",3
71,2022-10-02,The cherry flavor is amazing. Will be buying more.,5
72,2022-09-28,"These boots are durable and comfortable, but they're a bit heavy.",4
73,2022-09-27,"The sandals are pretty, but the heel is higher than I expected.",3
74,2022-09-20,"A cozy and unique beanie. Received a lot of compliments. Plus, it's cat-themed, so that's a win for me!",4
75,2022-09-15,"Best running shoes I've had in a while. They're really comfortable, even on long runs.",5
76,2022-09-15,Comfortable and fun! My child loves showing off the light-up feature to friends.,4
77,2022-09-12,They're nice shoes but they felt a little tight at first. They loosened up after a few days though.,3
78,2022-09-10,Nice variety of flavors. The chocolate is rich and smooth.,5
79,2022-08-16,"I bought these as a gift, and they were well received. Will definitely purchase again.",4
80,2022-08-15,Good quality boots. They keep my feet dry and comfortable during long hikes.,4
81,2022-08-10,"These shoes look good, but they wore out a bit faster than I expected.",3
82,2022-08-10,"Cool shoes, but the lights stopped working after a few weeks.",3
83,2022-08-07,I got the black ones and they look sleek. Got compliments on the first day I wore them out.,5
84,2022-08-03,Absolutely love these sandals! They're so elegant and surprisingly comfortable.,5
85,2022-07-30,Comfortable and sturdy. Perfect for outdoor adventures.,5
86,2022-07-22,Absolutely delicious! The orange flavor is my favorite.,5
87,2022-07-20,Very happy with my purchase. These shoes provide good support for my morning jogs.,4
88,2022-07-20,"Bought these for my son's birthday, and they were the star of the party. Great shoes!",5
89,2022-07-18,"These sandals look great, but they're a bit tight. Maybe they'll stretch over time.",4
